id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch,Cluster
0,8,2024-12-23 12:30:06,322,9251,Monday,466,95,649,288,home,False,3
1,9,2024-12-23 12:34:54,31,53,Monday,339,16,518,266,home,False,1
2,5,2024-12-23 19:03:39,23,280,Monday,644,254,918,432,home,False,3
3,5,2024-12-23 19:03:40,92,1030,Monday,0,98,261,374,home,True,1
4,5,2024-12-23 19:03:49,21,55,Monday,254,17,540,261,home,True,0
5,8,2024-12-23 19:04:01,11,82,Monday,577,240,664,506,home,True,0
6,12,2024-12-23 19:04:14,577,4613,Monday,600,518,888,655,home,True,1
7,8,2024-12-23 19:04:35,5,110,Monday,508,242,573,354,home,True,0
8,9,2024-12-23 19:04:40,7,91,Monday,476,180,563,211,home,True,0
9,9,2024-12-23 19:04:47,15,52,Monday,486,126,570,147,home,True,0
10,5,2024-12-23 19:05:13,282,2298,Monday,0,98,233,393,home,True,2
11,8,2024-12-23 19:05:13,5,62,Monday,411,38,509,177,home,False,1
12,8,2024-12-23 19:05:42,2,61,Monday,378,20,521,100,home,True,0
13,8,2024-12-23 19:05:49,5,117,Monday,416,70,480,192,home,False,1
14,8,2024-12-23 19:05:56,2,73,Monday,378,80,516,116,home,False,1
15,8,2024-12-23 19:06:01,5,69,Monday,409,20,509,68,home,True,0
16,8,2024-12-23 19:06:09,20,111,Monday,372,22,497,82,home,True,0
17,8,2024-12-23 19:06:11,11,248,Monday,360,23,486,80,home,True,0
18,5,2024-12-23 19:06:22,16,169,Monday,261,13,699,282,home,True,1
19,8,2024-12-23 19:06:24,5,51,Monday,387,51,504,77,home,True,0
20,8,2024-12-23 19:06:28,3,65,Monday,382,36,521,96,home,True,0
21,5,2024-12-23 19:06:54,10,61,Monday,0,99,266,353,home,True,1
22,5,2024-12-23 19:06:54,10,115,Monday,292,0,718,272,home,True,1
23,5,2024-12-23 19:06:57,23,73,Monday,293,1,719,276,home,True,0
24,5,2024-12-23 19:07:15,2,52,Monday,304,0,737,285,home,True,1
25,8,2024-12-23 19:07:39,6,54,Monday,403,63,499,123,home,True,0
26,8,2024-12-23 19:08:11,4,104,Monday,403,45,542,89,home,True,0
27,8,2024-12-23 19:08:12,10,199,Monday,411,41,545,90,home,False,1
28,8,2024-12-23 19:08:25,11,117,Monday,484,45,504,179,home,True,0
29,2,2024-12-23 19:08:26,162,170,Monday,37,165,220,451,home,True,0
30,7,2024-12-23 19:08:36,9,63,Monday,649,0,737,34,home,True,3
31,8,2024-12-23 19:08:37,9,193,Monday,450,63,559,189,home,False,1
32,8,2024-12-23 19:08:54,39,239,Monday,348,87,497,199,home,True,3
33,5,2024-12-23 19:09:13,276,1248,Monday,0,101,250,351,home,True,2
34,5,2024-12-23 19:09:33,22,95,Monday,355,33,817,317,home,True,0
35,8,2024-12-23 19:09:43,2,72,Monday,402,35,550,117,home,True,0
36,8,2024-12-23 19:09:55,3,65,Monday,347,166,370,288,home,True,0
37,8,2024-12-23 19:09:59,8,220,Monday,352,106,455,226,home,True,0
38,8,2024-12-23 19:10:23,10,80,Monday,327,86,473,195,home,False,1
39,8,2024-12-23 19:10:34,5,86,Monday,320,130,391,265,home,True,0
40,8,2024-12-23 19:10:34,20,136,Monday,295,135,386,271,home,True,0
41,8,2024-12-23 19:10:35,9,79,Monday,303,146,394,282,home,False,1
42,8,2024-12-23 19:10:48,8,93,Monday,298,117,403,268,home,False,1
43,8,2024-12-23 19:11:01,35,827,Monday,380,102,418,234,home,False,0
44,8,2024-12-23 19:11:46,16,104,Monday,364,67,491,154,home,True,0
45,8,2024-12-23 19:12:14,6,169,Monday,408,18,491,179,home,True,0
46,8,2024-12-23 19:12:21,5,67,Monday,414,37,507,172,home,True,0
47,8,2024-12-23 19:12:27,8,203,Monday,452,92,494,218,home,True,0
48,2,2024-12-23 19:12:56,54,85,Monday,35,182,220,461,home,True,2
49,5,2024-12-23 20:22:23,51,189,Monday,0,96,256,408,home,True,0
50,19,2024-12-23 20:22:23,310,8325,Monday,534,595,732,849,home,True,3
51,9,2024-12-23 20:22:28,11,100,Monday,535,603,732,849,home,True,0
52,5,2024-12-23 20:23:24,249,184,Monday,0,95,266,384,home,True,2
53,2,2024-12-23 20:27:33,61,1514,Monday,488,211,624,379,home,True,0
54,9,2024-12-23 20:27:56,38,225,Monday,545,68,687,238,home,True,1
55,9,2024-12-23 20:31:42,29,572,Monday,545,68,687,238,home,True,1
56,2,2024-12-23 20:31:42,30,261,Monday,487,211,623,376,home,True,2
57,8,2025-01-13 19:11:00,71,1999,Monday,347,289,498,352,home,True,0
58,2,2025-01-13 19:11:06,172,664,Monday,123,57,292,252,home,True,0
59,8,2025-01-13 19:11:50,10,61,Monday,306,42,370,207,home,True,0
60,8,2025-01-13 19:12:12,59,730,Monday,401,113,476,234,home,False,0
61,8,2025-01-13 19:12:13,18,125,Monday,446,18,547,137,home,False,1
62,13,2025-01-13 19:12:16,18,58,Monday,291,81,372,246,home,True,0
63,8,2025-01-13 19:12:29,3,58,Monday,453,28,563,164,home,True,0
64,8,2025-01-13 19:12:34,24,193,Monday,478,92,551,205,home,True,3
65,13,2025-01-13 19:12:44,76,644,Monday,303,100,438,227,home,True,1
66,8,2025-01-13 19:13:12,39,385,Monday,428,109,507,221,home,False,0
67,8,2025-01-13 19:13:16,2,70,Monday,407,32,531,111,home,True,0
68,8,2025-01-13 19:13:40,62,498,Monday,452,189,508,277,home,True,0
