id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch,Cluster
0,8,2024-12-23 12:30:06,322,9251,Monday,466,95,649,288,558,192,182,193,home,False,7
1,5,2024-12-23 19:03:39,49,282,Monday,644,254,918,432,781,343,273,178,home,False,0
2,5,2024-12-23 19:03:40,217,886,Monday,0,98,261,374,130,276,260,360,home,True,8
3,5,2024-12-23 19:04:03,12,216,Monday,0,100,244,391,113,253,226,306,home,True,8
4,12,2024-12-23 19:04:14,577,4613,Monday,600,518,888,655,754,584,308,152,home,False,2
5,5,2024-12-23 19:05:07,522,3586,Monday,0,99,242,398,126,264,253,331,home,True,8
6,5,2024-12-23 19:05:09,128,452,Monday,216,13,655,326,418,233,459,292,home,True,8
7,8,2024-12-23 19:05:15,40,224,Monday,409,52,504,176,449,82,54,99,home,False,1
8,8,2024-12-23 19:05:40,51,283,Monday,391,36,514,109,397,92,93,185,home,False,1
9,8,2024-12-23 19:06:00,30,325,Monday,410,26,513,70,470,69,125,23,home,False,1
10,8,2024-12-23 19:08:54,37,207,Monday,350,90,500,200,429,130,80,164,home,False,1
11,8,2024-12-23 19:09:59,23,274,Monday,352,106,455,226,403,154,151,112,home,True,4
12,8,2024-12-23 19:10:34,17,221,Monday,327,128,389,255,367,162,25,90,home,True,4
13,8,2024-12-23 19:11:01,32,816,Monday,380,102,418,234,396,142,44,121,home,True,4
14,8,2024-12-23 19:11:52,34,326,Monday,376,54,499,154,421,111,156,85,home,True,4
15,8,2024-12-23 19:12:04,31,226,Monday,444,75,502,202,472,101,63,95,home,False,1
16,19,2024-12-23 20:22:23,310,8325,Monday,534,595,732,849,633,722,198,254,home,False,11
17,5,2024-12-23 20:22:23,310,372,Monday,0,96,256,408,78,212,157,232,home,True,2
18,2,2024-12-23 20:27:33,61,1514,Monday,488,211,624,379,553,292,130,159,home,True,12
19,9,2024-12-23 20:27:56,38,225,Monday,545,68,687,238,616,153,142,169,home,True,11
20,9,2024-12-23 20:31:42,29,572,Monday,545,68,687,238,616,153,142,170,home,True,11
21,2,2024-12-23 20:31:42,30,261,Monday,487,211,623,376,555,291,135,160,home,True,12
22,5,2024-12-24 09:08:39,27,305,Tuesday,57,115,326,390,260,243,265,224,home,True,3
23,5,2024-12-24 09:08:40,463,521,Tuesday,487,52,782,369,712,173,302,344,home,True,3
24,5,2024-12-24 09:08:42,557,15052,Tuesday,144,168,843,719,510,404,986,794,home,True,3
25,5,2024-12-24 09:18:00,279,5396,Tuesday,181,211,793,672,493,463,499,339,home,False,12
26,5,2024-12-24 09:19:03,247,695,Tuesday,124,138,884,744,511,418,987,825,home,True,3
27,5,2024-12-24 09:19:46,414,601,Tuesday,156,101,400,362,282,237,239,259,home,True,3
28,5,2024-12-24 09:21:35,171,1327,Tuesday,311,234,764,654,328,474,166,241,home,False,12
29,5,2024-12-24 09:21:37,223,318,Tuesday,570,97,764,272,678,175,200,189,home,True,3
30,4,2024-12-24 09:21:54,208,793,Tuesday,160,110,400,372,281,241,239,263,home,False,0
31,5,2024-12-24 09:22:13,62,217,Tuesday,198,245,781,660,489,457,502,346,home,False,12
32,5,2024-12-24 09:22:13,62,248,Tuesday,566,101,758,274,663,188,192,172,home,False,12
33,5,2024-12-24 09:24:16,65,419,Tuesday,16,6,911,758,501,420,991,826,home,True,3
34,5,2024-12-24 09:25:24,116,1449,Tuesday,459,216,952,629,602,435,247,338,home,True,3
35,5,2024-12-24 09:25:29,150,376,Tuesday,517,242,1001,658,731,339,475,267,home,True,3
36,8,2024-12-24 09:25:34,145,1382,Tuesday,404,441,609,584,477,525,263,116,home,True,14
37,5,2024-12-24 09:27:09,50,511,Tuesday,160,67,591,426,335,180,184,360,home,True,3
38,8,2024-12-24 09:38:00,220,3658,Tuesday,485,434,590,619,537,526,105,184,home,False,5
39,5,2024-12-24 09:38:02,595,9391,Tuesday,141,123,617,473,459,311,314,324,home,True,3
40,5,2024-12-24 09:38:15,300,574,Tuesday,484,239,1004,702,744,470,522,462,home,False,12
41,8,2024-12-24 09:44:59,26,618,Tuesday,727,193,882,277,804,235,154,83,home,False,5
42,8,2024-12-24 09:46:38,75,1340,Tuesday,570,61,662,173,621,106,77,106,home,False,5
43,8,2024-12-24 09:46:39,66,686,Tuesday,566,87,651,174,591,143,51,59,home,False,5
44,5,2024-12-24 09:56:00,477,8487,Tuesday,96,109,590,485,343,297,493,377,home,True,3
45,8,2024-12-24 09:57:31,36,338,Tuesday,674,18,717,146,694,82,44,127,home,True,14
